hex_id,quarter,forecast_target_year_start,observation_count,intensity_lag_1_quarter,intensity_lag_2_quarters_sum,intensity_lag_4_quarters_sum,neighbor_intensity_lag_1_quarter,species_kernel_recent_intensity,predicted_intensity,hotspot_rank,hotspot_flag,habitat_context,forecast_horizon,environment_basis
hex_00267,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.0192,992,0,urban,next_year,realized
hex_00268,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.045557509157509155,703,0,urban,next_year,realized
hex_00269,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.11953107380568584,0.03266666666666666,841,0,urban,next_year,realized
hex_00270,2026-01-01,2026-03-01,0,1.0,2.0,2.0,0.0,0.18854237144392358,0.4035285714285715,156,0,urban,next_year,realized
hex_00271,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.11953107380568559,0.04323291620335841,727,0,urban,next_year,realized
hex_00272,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.0,1368,0,urban,next_year,realized
hex_00273,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.09427118572196184,0.07400202020202021,552,0,urban,next_year,realized
hex_00274,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.017952380952380952,1005,0,urban,next_year,realized
hex_00275,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.024599999999999997,931,0,urban,next_year,realized
hex_00276,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.11953107380568574,0.225568253968254,303,0,urban,next_year,realized
hex_00277,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.11953107380568587,0.045566666666666665,702,0,urban,next_year,realized
hex_00278,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.11953107380568585,0.06708444444444445,575,0,urban,next_year,realized
hex_00279,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.5,0.21380225952764742,0.16620317460317457,371,0,urban,next_year,realized
hex_00280,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.03911111111111111,769,0,urban,next_year,realized
hex_00281,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.10860116694899302,462,0,urban,next_year,realized
hex_00282,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.050904761904761904,666,0,urban,next_year,realized
hex_00283,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.01777728937728938,1008,0,urban,next_year,realized
hex_00284,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.007666666666666666,1162,0,urban,next_year,realized
hex_00285,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.022669597069597067,949,0,urban,next_year,realized
hex_00286,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.308017559049138,224,0,urban,next_year,realized
hex_00287,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.11953107380568585,0.04135238095238095,744,0,urban,next_year,realized
hex_00288,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.5,0.11953107380568566,0.08816190476190476,509,0,urban,next_year,realized
hex_00289,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.006666666666666666,1175,0,urban,next_year,realized
hex_00290,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.003333333333333333,1233,0,urban,next_year,realized
hex_00291,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.0,1369,0,urban,next_year,realized
hex_00292,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.0,1370,0,mixed,next_year,realized
hex_00293,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.0026666666666666666,1248,0,mixed,next_year,realized
hex_00294,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.0013333333333333333,1287,0,urban,next_year,realized
hex_00295,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.4387009160668796,131,1,urban,next_year,realized
hex_00296,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.05573846153846154,628,0,urban,next_year,realized
hex_00297,2026-01-01,2026-03-01,0,0.0,1.0,1.0,0.5,0.11953107380568583,0.2781666666666667,244,0,urban,next_year,realized
hex_00298,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.11953107380568578,0.01,1119,0,urban,next_year,realized
hex_00299,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.048904761904761895,683,0,urban,next_year,realized
