hex_id,quarter,forecast_target_quarter,observation_count,intensity_lag_1_quarter,intensity_lag_2_quarters_sum,intensity_lag_4_quarters_sum,neighbor_intensity_lag_1_quarter,species_kernel_recent_intensity,predicted_intensity,hotspot_rank,hotspot_flag,habitat_context,forecast_horizon,environment_basis
hex_00317,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.05642820929158951,939,0,mixed,next_quarter,realized_plus_planned
hex_00318,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.06390204723519212,863,0,mixed,next_quarter,realized_plus_planned
hex_00319,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.03324728912135183,1187,0,mixed,next_quarter,realized_plus_planned
hex_00320,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.009351262981096406,1453,0,natural,next_quarter,realized_plus_planned
hex_00321,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.00953541360734419,1449,0,natural,next_quarter,realized_plus_planned
hex_00322,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.009207199052955865,1455,0,natural,next_quarter,realized_plus_planned
hex_00323,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.03145937733863876,1209,0,urban,next_quarter,realized_plus_planned
hex_00324,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.04118611844752975,1107,0,urban,next_quarter,realized_plus_planned
hex_00325,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.23906214761137154,0.08167936959503268,732,0,urban,next_quarter,realized_plus_planned
hex_00326,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.5,0.23906214761137173,0.07428107672064482,789,0,urban,next_quarter,realized_plus_planned
hex_00327,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.04957288425354603,1010,0,urban,next_quarter,realized_plus_planned
hex_00328,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.10270991645083692,591,0,urban,next_quarter,realized_plus_planned
hex_00329,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.11953107380568566,0.11850913369778468,467,0,urban,next_quarter,realized_plus_planned
hex_00330,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.2,0.11953107380568583,0.1290298996573731,413,0,urban,next_quarter,realized_plus_planned
hex_00331,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.0984236371040088,616,0,urban,next_quarter,realized_plus_planned
hex_00332,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.13197225474267868,0.15308563277777484,281,0,urban,next_quarter,realized_plus_planned
hex_00333,2026-01-01,2026-03-01,0,0.0,0.0,1.0,0.0,0.13197225474267885,0.14751162646441532,307,0,urban,next_quarter,realized_plus_planned
hex_00334,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.131972254742679,0.1540217380201296,279,0,urban,next_quarter,realized_plus_planned
hex_00335,2026-01-01,2026-03-01,1,0.0,0.0,2.0,0.0,0.2081664715439263,0.1872340005317697,164,0,urban,next_quarter,realized_plus_planned
hex_00336,2026-01-01,2026-03-01,0,0.0,0.0,1.0,0.0,0.39591676422803695,0.16203137109325247,252,0,urban,next_quarter,realized_plus_planned
hex_00337,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.5,0.2639445094853575,0.07357537334742416,795,0,urban,next_quarter,realized_plus_planned
hex_00338,2026-01-01,2026-03-01,0,0.0,0.0,1.0,0.0,0.131972254742679,0.0659760140656037,847,0,urban,next_quarter,realized_plus_planned
hex_00339,2026-01-01,2026-03-01,1,0.0,0.0,0.0,0.0,0.2081664715439263,0.04191578832809262,1095,0,urban,next_quarter,realized_plus_planned
hex_00340,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.131972254742679,0.03549828501281306,1164,0,urban,next_quarter,realized_plus_planned
hex_00341,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.029705959677309733,1222,0,urban,next_quarter,realized_plus_planned
hex_00342,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.039609040617156976,1117,0,mixed,next_quarter,realized_plus_planned
hex_00343,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.04179514453043691,1097,0,natural,next_quarter,realized_plus_planned
hex_00344,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.047960286550986,1032,0,mixed,next_quarter,realized_plus_planned
