hex_id,quarter,forecast_target_year_start,observation_count,intensity_lag_1_quarter,intensity_lag_2_quarters_sum,intensity_lag_4_quarters_sum,neighbor_intensity_lag_1_quarter,species_kernel_recent_intensity,predicted_intensity,hotspot_rank,hotspot_flag,habitat_context,forecast_horizon,environment_basis
hex_01207,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.5,0.13197225474267887,0.15714666666666668,724,0,urban,next_year,realized_plus_planned
hex_01208,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.07581052631578945,863,0,urban,next_year,realized_plus_planned
hex_01209,2026-01-01,2026-03-01,0,0.0,1.0,1.0,0.0,0.13197225474267912,0.35763626373626384,513,0,urban,next_year,realized_plus_planned
hex_01210,2026-01-01,2026-03-01,0,1.0,1.0,1.0,0.0,0.3401387262866056,0.4968214285714285,320,0,urban,next_year,realized_plus_planned
hex_01211,2026-01-01,2026-03-01,0,1.0,1.0,2.0,0.0,0.4721109810292843,0.6181153846153846,214,0,urban,next_year,realized_plus_planned
hex_01212,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.3959167642280367,0.3464132793384805,530,0,mixed,next_year,realized_plus_planned
hex_01213,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.15203690834047776,0.0242,1071,0,mixed,next_year,realized_plus_planned
hex_01214,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.18891740819566902,694,0,natural,next_year,realized_plus_planned
hex_01215,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.02353333333333334,1076,0,natural,next_year,realized_plus_planned
hex_01216,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.0,1430,0,natural,next_year,realized_plus_planned
hex_01217,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.3333333333333333,0.21846700409427924,0.24478975468975467,637,0,urban,next_year,realized_plus_planned
hex_01218,2026-01-01,2026-03-01,0,1.0,2.0,2.0,0.0,0.2815329959057205,0.8247364357864357,99,1,urban,next_year,realized_plus_planned
hex_01219,2026-01-01,2026-03-01,1,0.0,0.0,0.0,0.0,0.308073445249609,0.278015873015873,606,0,urban,next_year,realized_plus_planned
hex_01220,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.11953107380568583,0.12140952380952381,773,0,urban,next_year,realized_plus_planned
hex_01221,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.09427118572196187,0.9583857142857142,55,1,urban,next_year,realized_plus_planned
hex_01222,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.5,0.11953107380568598,0.1950952380952381,686,0,urban,next_year,realized_plus_planned
